model,pooling,dataset_size,C,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-large,patch_max,50,10.0,0.808889,15,15,1024,0.04
dinov2-large,patch_max,100,0.01,0.847778,30,30,1024,0.06
dinov2-large,patch_max,100,0.1,0.845556,30,30,1024,0.06
dinov2-large,patch_max,100,1.0,0.838889,30,30,1024,0.06
dinov2-large,patch_max,100,10.0,0.836667,30,30,1024,0.06
dinov2-large,patch_max,250,0.01,0.865932,74,76,1024,0.09
dinov2-large,patch_max,250,0.1,0.862198,74,76,1024,0.09
dinov2-large,patch_max,250,1.0,0.858108,74,76,1024,0.09
dinov2-large,patch_max,250,10.0,0.852952,74,76,1024,0.09
dinov2-large,patch_gem,50,0.01,0.835556,15,15,1024,0.04
dinov2-large,patch_gem,50,0.1,0.804444,15,15,1024,0.04
dinov2-large,patch_gem,50,1.0,0.817778,15,15,1024,0.04
dinov2-large,patch_gem,50,10.0,0.8,15,15,1024,0.04
dinov2-large,patch_gem,100,0.01,0.828889,30,30,1024,0.06
dinov2-large,patch_gem,100,0.1,0.836667,30,30,1024,0.06
dinov2-large,patch_gem,100,1.0,0.838889,30,30,1024,0.06
dinov2-large,patch_gem,100,10.0,0.836667,30,30,1024,0.06
dinov2-large,patch_gem,250,0.01,0.880156,74,76,1024,0.09
dinov2-large,patch_gem,250,0.1,0.879445,74,76,1024,0.09
dinov2-large,patch_gem,250,1.0,0.878023,74,76,1024,0.09
dinov2-large,patch_gem,250,10.0,0.874644,74,76,1024,0.09
dinov2-large,cls_patch,50,0.01,0.835556,15,15,2048,0.06
dinov2-large,cls_patch,50,0.1,0.84,15,15,2048,0.06
dinov2-large,cls_patch,50,1.0,0.835556,15,15,2048,0.06
dinov2-large,cls_patch,50,10.0,0.84,15,15,2048,0.06
dinov2-large,cls_patch,100,0.01,0.85,30,30,2048,0.09
dinov2-large,cls_patch,100,0.1,0.851111,30,30,2048,0.09
dinov2-large,cls_patch,100,1.0,0.848889,30,30,2048,0.09
dinov2-large,cls_patch,100,10.0,0.853333,30,30,2048,0.09
dinov2-large,cls_patch,250,0.01,0.890647,74,76,2048,1.39
dinov2-large,cls_patch,250,0.1,0.887624,74,76,2048,1.39
dinov2-large,cls_patch,250,1.0,0.888336,74,76,2048,1.39
dinov2-large,cls_patch,250,10.0,0.88478,74,76,2048,1.39
dinov2-large,multicrop,50,0.01,0.906667,15,15,1024,0.08
dinov2-large,multicrop,50,0.1,0.902222,15,15,1024,0.08
dinov2-large,multicrop,50,1.0,0.902222,15,15,1024,0.08
dinov2-large,multicrop,50,10.0,0.902222,15,15,1024,0.08
dinov2-large,multicrop,100,0.01,0.812222,30,30,1024,0.11
dinov2-large,multicrop,100,0.1,0.805556,30,30,1024,0.11
dinov2-large,multicrop,100,1.0,0.798889,30,30,1024,0.11
dinov2-large,multicrop,100,10.0,0.793333,30,30,1024,0.11
dinov2-large,multicrop,250,0.01,0.858108,74,76,1024,0.14
dinov2-large,multicrop,250,0.1,0.84904,74,76,1024,0.14
dinov2-large,multicrop,250,1.0,0.842817,74,76,1024,0.14
dinov2-large,multicrop,250,10.0,0.840505,74,76,1024,0.14
dinov2-giant,cls,50,0.01,0.862222,15,15,1536,0.06
dinov2-giant,cls,50,0.1,0.862222,15,15,1536,0.06
dinov2-giant,cls,50,1.0,0.862222,15,15,1536,0.06
dinov2-giant,cls,50,10.0,0.862222,15,15,1536,0.06
dinov2-giant,cls,100,0.01,0.88,30,30,1536,0.08
dinov2-giant,cls,100,0.1,0.876667,30,30,1536,0.08
dinov2-giant,cls,100,1.0,0.874444,30,30,1536,0.08
dinov2-giant,cls,100,10.0,0.873333,30,30,1536,0.08
dinov2-giant,cls,250,0.01,0.869844,74,76,1536,0.63
dinov2-giant,cls,250,0.1,0.86771,74,76,1536,0.63
dinov2-giant,cls,250,1.0,0.866287,74,76,1536,0.63
dinov2-giant,cls,250,10.0,0.864331,74,76,1536,0.63
dinov2-giant,patch_mean,50,0.01,0.848889,15,15,1536,0.09
dinov2-giant,patch_mean,50,0.1,0.862222,15,15,1536,0.09
dinov2-giant,patch_mean,50,1.0,0.866667,15,15,1536,0.09
dinov2-giant,patch_mean,50,10.0,0.857778,15,15,1536,0.09
dinov2-giant,patch_mean,100,0.01,0.862222,30,30,1536,0.11
dinov2-giant,patch_mean,100,0.1,0.847778,30,30,1536,0.11
dinov2-giant,patch_mean,100,1.0,0.843333,30,30,1536,0.11
dinov2-giant,patch_mean,100,10.0,0.843333,30,30,1536,0.11
dinov2-giant,patch_mean,250,0.01,0.905583,74,76,1536,0.85
dinov2-giant,patch_mean,250,0.1,0.90505,74,76,1536,0.85
dinov2-giant,patch_mean,250,1.0,0.903805,74,76,1536,0.85
dinov2-giant,patch_mean,250,10.0,0.899538,74,76,1536,0.85
dinov2-giant,patch_max,50,0.01,0.795556,15,15,1536,0.09
dinov2-giant,patch_max,50,0.1,0.786667,15,15,1536,0.09
dinov2-giant,patch_max,50,1.0,0.786667,15,15,1536,0.09
dinov2-giant,patch_max,50,10.0,0.782222,15,15,1536,0.09
dinov2-giant,patch_max,100,0.01,0.888889,30,30,1536,0.11
dinov2-giant,patch_max,100,0.1,0.892222,30,30,1536,0.11
dinov2-giant,patch_max,100,1.0,0.891111,30,30,1536,0.11
dinov2-giant,patch_max,100,10.0,0.89,30,30,1536,0.11
dinov2-giant,patch_max,250,0.01,0.863798,74,76,1536,1.03
dinov2-giant,patch_max,250,0.1,0.860597,74,76,1536,1.03
dinov2-giant,patch_max,250,1.0,0.856686,74,76,1536,1.03
dinov2-giant,patch_max,250,10.0,0.856152,74,76,1536,1.03
dinov2-giant,patch_gem,50,0.01,0.817778,15,15,1536,0.09
dinov2-giant,patch_gem,50,0.1,0.826667,15,15,1536,0.09
dinov2-giant,patch_gem,50,1.0,0.835556,15,15,1536,0.09
dinov2-giant,patch_gem,50,10.0,0.831111,15,15,1536,0.09
dinov2-giant,patch_gem,100,0.01,0.896667,30,30,1536,0.11
dinov2-giant,patch_gem,100,0.1,0.901111,30,30,1536,0.11
dinov2-giant,patch_gem,100,1.0,0.897778,30,30,1536,0.11
dinov2-giant,patch_gem,100,10.0,0.902222,30,30,1536,0.11
dinov2-giant,patch_gem,250,0.01,0.896159,74,76,1536,0.92
dinov2-giant,patch_gem,250,0.1,0.896515,74,76,1536,0.92
dinov2-giant,patch_gem,250,1.0,0.895982,74,76,1536,0.92
dinov2-giant,patch_gem,250,10.0,0.891358,74,76,1536,0.92
dinov2-giant,cls_patch,50,0.01,0.911111,15,15,3072,0.09
dinov2-giant,cls_patch,50,0.1,0.915556,15,15,3072,0.09
dinov2-giant,cls_patch,50,1.0,0.915556,15,15,3072,0.09
dinov2-giant,cls_patch,50,10.0,0.893333,15,15,3072,0.09
dinov2-giant,cls_patch,100,0.01,0.874444,30,30,3072,0.13
dinov2-giant,cls_patch,100,0.1,0.872222,30,30,3072,0.13
dinov2-giant,cls_patch,100,1.0,0.868889,30,30,3072,0.13
dinov2-giant,cls_patch,100,10.0,0.877778,30,30,3072,0.13
dinov2-giant,cls_patch,250,0.01,0.905939,74,76,3072,0.73
dinov2-giant,cls_patch,250,0.1,0.905228,74,76,3072,0.73
dinov2-giant,cls_patch,250,1.0,0.904161,74,76,3072,0.73
dinov2-giant,cls_patch,250,10.0,0.901849,74,76,3072,0.73
dinov2-giant,multicrop,50,0.01,0.88,15,15,1536,0.08
dinov2-giant,multicrop,50,0.1,0.88,15,15,1536,0.08
dinov2-giant,multicrop,50,1.0,0.88,15,15,1536,0.08
dinov2-giant,multicrop,50,10.0,0.88,15,15,1536,0.08
dinov2-giant,multicrop,100,0.01,0.885556,30,30,1536,0.1
