model,pooling,dataset_size,k,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-large,patch_gem,50,11,0.822222,15,15,1024,0.12
dinov2-large,patch_gem,100,1,0.816667,30,30,1024,0.2
dinov2-large,patch_gem,100,5,0.89,30,30,1024,0.2
dinov2-large,patch_gem,100,11,0.842222,30,30,1024,0.2
dinov2-large,patch_gem,250,1,0.8133,74,76,1024,0.3
dinov2-large,patch_gem,250,5,0.901405,74,76,1024,0.3
dinov2-large,patch_gem,250,11,0.901138,74,76,1024,0.3
dinov2-large,cls_patch,50,1,0.766667,15,15,2048,0.13
dinov2-large,cls_patch,50,5,0.862222,15,15,2048,0.13
dinov2-large,cls_patch,50,11,0.822222,15,15,2048,0.13
dinov2-large,cls_patch,100,1,0.816667,30,30,2048,0.24
dinov2-large,cls_patch,100,5,0.87,30,30,2048,0.24
dinov2-large,cls_patch,100,11,0.843333,30,30,2048,0.24
dinov2-large,cls_patch,250,1,0.799787,74,76,2048,0.38
dinov2-large,cls_patch,250,5,0.901494,74,76,2048,0.38
dinov2-large,cls_patch,250,11,0.899538,74,76,2048,0.38
dinov2-large,multicrop,50,1,0.7,15,15,1024,0.11
dinov2-large,multicrop,50,5,0.791111,15,15,1024,0.11
dinov2-large,multicrop,50,11,0.786667,15,15,1024,0.11
dinov2-large,multicrop,100,1,0.8,30,30,1024,0.2
dinov2-large,multicrop,100,5,0.842222,30,30,1024,0.2
dinov2-large,multicrop,100,11,0.82,30,30,1024,0.2
dinov2-large,multicrop,250,1,0.766892,74,76,1024,0.31
dinov2-large,multicrop,250,5,0.865665,74,76,1024,0.31
dinov2-large,multicrop,250,11,0.892425,74,76,1024,0.31
dinov2-giant,cls,50,1,0.766667,15,15,1536,0.1
dinov2-giant,cls,50,5,0.835556,15,15,1536,0.1
dinov2-giant,cls,50,11,0.848889,15,15,1536,0.1
dinov2-giant,cls,100,1,0.783333,30,30,1536,0.2
dinov2-giant,cls,100,5,0.801111,30,30,1536,0.2
dinov2-giant,cls,100,11,0.805556,30,30,1536,0.2
dinov2-giant,cls,250,1,0.786451,74,76,1536,0.32
dinov2-giant,cls,250,5,0.869221,74,76,1536,0.32
dinov2-giant,cls,250,11,0.888691,74,76,1536,0.32
dinov2-giant,patch_mean,50,1,0.666667,15,15,1536,0.11
dinov2-giant,patch_mean,50,5,0.773333,15,15,1536,0.11
dinov2-giant,patch_mean,50,11,0.791111,15,15,1536,0.11
dinov2-giant,patch_mean,100,1,0.816667,30,30,1536,0.21
dinov2-giant,patch_mean,100,5,0.934444,30,30,1536,0.21
dinov2-giant,patch_mean,100,11,0.864444,30,30,1536,0.21
dinov2-giant,patch_mean,250,1,0.839438,74,76,1536,0.33
dinov2-giant,patch_mean,250,5,0.91803,74,76,1536,0.33
dinov2-giant,patch_mean,250,11,0.911273,74,76,1536,0.33
dinov2-giant,patch_max,50,1,0.766667,15,15,1536,0.12
dinov2-giant,patch_max,50,5,0.844444,15,15,1536,0.12
dinov2-giant,patch_max,50,11,0.768889,15,15,1536,0.12
dinov2-giant,patch_max,100,1,0.816667,30,30,1536,0.2
dinov2-giant,patch_max,100,5,0.852778,30,30,1536,0.2
dinov2-giant,patch_max,100,11,0.844444,30,30,1536,0.2
dinov2-giant,patch_max,250,1,0.812767,74,76,1536,0.33
dinov2-giant,patch_max,250,5,0.887269,74,76,1536,0.33
dinov2-giant,patch_max,250,11,0.881846,74,76,1536,0.33
